ID,DATE,TIME,TIME_OF_DAY,NETWORK,HEADLINE,SENTIMENT_LABEL,SENTIMENT_SCORE,EMOTION_SADNESS,EMOTION_FEAR,EMOTION_ANGER,EMOTION_DISGUST,EMOTION_JOY,PUTIN,TRUMP,TRUDEAU
0,2017-07-11,11:00:00,Morning,RT,THAAD shoots down 1st IRBM over Alaska – Missile Defense Agency                                                                    ,neutral,0.0,0.25777,0.160183,0.214884,0.192364,0.161918,0,0,0
1,2017-07-11,11:00:00,Morning,RT,UK’s £3bn aircraft carrier could be sunk by cheap missiles – security think-tank                                                                    ,neutral,0.0,0.251197,0.173666,0.105967,0.326115,0.009723,0,0,0
2,2017-07-11,11:00:00,Morning,RT,"North Korea unlikely to have ICBM technology, South intel says as Kim celebrates launch                                                                    ",neutral,0.0,0.319849,0.063839,0.02861,0.082102,0.522026,0,0,0
3,2017-07-11,11:00:00,Morning,RT,Schoolboy interviews Defence Secretary Mattis after spying phone number in photo                                                                    ,neutral,0.0,0.066638,0.064535,0.026203,0.097808,0.329629,0,0,0
4,2017-07-11,11:00:00,Morning,RT,‘Intense Russophobia’: US activist advises companies not to insure Russian ambassador’s life                                                                    ,neutral,0.0,0.10798,0.318806,0.040444,0.0401,0.225358,0,0,0
5,2017-07-11,11:00:00,Morning,WT,"Bernie Sanders most popular senator, Mitch McConnell the least: Poll",negative,-0.342372,0.131367,0.036013,0.035269,0.357914,0.009553,0,0,0
6,2017-07-11,11:00:00,Morning,WT,Adam Schiff: Trump Jr. will be asked to appear before House intel panel after NYT email report,neutral,0.0,0.127763,0.285114,0.071534,0.15607,0.010929,0,0,0
7,2017-07-11,11:00:00,Morning,WT,White House points collusion-seeking reporters toward the Democratic National Committee,neutral,0.0,0.369576,0.210396,0.056824,0.189577,0.182479,0,0,0
8,2017-07-11,11:00:00,Morning,WT,Merkley says Cruz amendment to health care bill ‘a pathway to fake insurance’,negative,-0.406464,0.32798,0.035249,0.355719,0.439275,0.029303,0,0,0
9,2017-07-11,11:00:00,Morning,WT,Nancy Pelosi: She’s still ‘worth the trouble’ for Democrats ,negative,-0.818104,0.566327,0.117232,0.215011,0.131655,0.076151,0,0,0
10,2017-07-11,11:00:00,Morning,WT,Christie calls constituent a ‘bum’ on radio program after beach criticism,neutral,0.0,0.224503,0.281299,0.120528,0.083993,0.10449,0,0,0
11,2017-07-11,11:00:00,Morning,WT,"Trump’s voter commission suspends data collection, awaits judge’s ruling",neutral,0.0,0.612852,0.127228,0.052316,0.151479,0.031132,0,1,0
12,2017-07-11,11:00:00,Morning,WT,Republicans vow new Obamacare repeal bill,negative,-0.848556,0.103027,0.037822,0.145433,0.290798,0.238673,0,0,0
13,2017-07-11,11:00:00,Morning,WT,GOP Sen. Tillis tries to force more foreign guest-workers by putting hold on Trump nominee,negative,-0.511196,0.261665,0.099353,0.274029,0.336551,0.003426,0,1,0
14,2017-07-11,11:00:00,Morning,WT,Russian lawyer who contacted Trump’s son earlier lobbied against U.S. law despised by Putin,neutral,0.0,0.232225,0.199369,0.064202,0.1591,0.069726,1,1,0
15,2017-07-11,11:00:00,Morning,WT,Hill panel calls for Donald Trump Jr. to testify on Russia meeting,neutral,0.0,0.154424,0.071077,0.104125,0.073564,0.122262,0,0,0
16,2017-07-11,11:00:00,Morning,WT,Press association turned down White House request to denounce a news report on Trump,negative,-0.314624,0.236845,0.117857,0.128189,0.301898,0.029652,0,1,0
17,2017-07-11,11:00:00,Morning,WT,Just 23 percent have been confirmed: Obstruction of Trump nominees is unprecedented,negative,-0.438628,0.066508,0.04281,0.024371,0.041498,0.125652,0,1,0
